food,lyric,song,album,notes,type of food,,
tacos,Pimp and I'm a couple of tacos short of a combination (uhhh),go hard or go home,My Ghetto Report Card,,,,
gold medal flour,"Where them scandalous dope deals be goin sour / Recount, swivel, Gold Medal Flour",go hard or go home,My Ghetto Report Card,,,,
fat burger,What's beef? -- Beef is when E-40 own a Fat Burger,go hard or go home,My Ghetto Report Card,,,,
gouda,the entire song of gouda by e 40,gouda,My Ghetto Report Card,,dairy,,
hotcakes,I'm tellin you pimpin cause they goin like hotcakes,sick wid it ii,My Ghetto Report Card,,,,
enchilada,"The whole enchilada, the whole taco",sick wid it ii,My Ghetto Report Card,,,,
tacos,"The whole enchilada, the whole taco",sick wid it ii,My Ghetto Report Card,,,,
bacardi light and dark,"The life of the fuckin party, Bacardi Light and Bacardi Dark",do ya head like this,My Ghetto Report Card,,alcoholic beverage,,
triple sec,Triple sec and that grenadine and that pineapple juice and parsley,do ya head like this,My Ghetto Report Card,,alcoholic beverage,,
grenadine,Triple sec and that grenadine and that pineapple juice and parsley,do ya head like this,My Ghetto Report Card,,alcoholic beverage,,
pineapple juice,Triple sec and that grenadine and that pineapple juice and parsley,do ya head like this,My Ghetto Report Card,,alcoholic beverage,,
parsley,Triple sec and that grenadine and that pineapple juice and parsley,do ya head like this,My Ghetto Report Card,,produce,,
quizno's,My woofers sub like Quizno's (Quizno's) - ask my cousin,do ya head like this,My Ghetto Report Card,,,,
robitussin,"(Ask my cousin) He a B-Dog, his car look like Robitussin",do ya head like this,My Ghetto Report Card,,,,
grand marnier,"I'm on that Remi and that Gran Ma' 'gnac, as we speak",do ya head like this,My Ghetto Report Card,,alcoholic beverage,,
lettuce,Some of you suckers can't tell a lettuce from a cabbage (cabbage),block boi,My Ghetto Report Card,,produce,,
cabbage,Some of you suckers can't tell a lettuce from a cabbage (cabbage),block boi,My Ghetto Report Card,,produce,,
hennessy,Sippin on that Richard Hennessy,u and dat,My Ghetto Report Card,,alcoholic beverage,,
tomato juice,They say we need to take a bath in tomato juice,yee,My Ghetto Report Card,,beverage,,
grits,"Oooh; thick like a big bowl of grits, big tits good looks",just fuckin,My Ghetto Report Card,,,,
hennessy,Get a sack of that broccoli and a bottle of Hennessy,just fuckin,My Ghetto Report Card,,alcoholic beverage,,
beefeater gin,Pick up a bottle of Beefeater and donald duck grapefruit juice,just fuckin,My Ghetto Report Card,,alcoholic beverage,,
donald duck grapefruit juice,Pick up a bottle of Beefeater and donald duck grapefruit juice,just fuckin,My Ghetto Report Card,,beverage,,
corn on the cob,Lick it up and down like corn on the cob / Slob on my knob while your pussy throb,gimme head,My Ghetto Report Card,,produce,,
banana,She pulled my dick back like a banana peelin,gimme head,My Ghetto Report Card,,produce,,
ribs,Baby got back like a slab of ribs,gimme head,My Ghetto Report Card,,,,
zinfandel,Get you for the Zinfandel,she say she loves me,My Ghetto Report Card,,alcoholic beverage,,
pork chops,"Pork chops and chicken, we like our food fried",happy to be here,My Ghetto Report Card,,,,
fried chicken,"Pork chops and chicken, we like our food fried",happy to be here,My Ghetto Report Card,,,,
peanut brittle,I done seen yola the same color as peanut brittle,happy to be here,My Ghetto Report Card,,,,
hypnotiq,"Got 'em pimpskillet, sippin' on some Hypnotiq",hot,Breakin News ,,alcoholic beverage,,
moet,How can I forget a lil' bumpy face and a bottle of that there Moet,hot,Breakin News ,,alcoholic beverage,,
kool-aid,"And my heard don't pump Kool-Aid, my heart pump beer",i got dat work,Breakin News ,,beverage,,
beer,"And my heard don't pump Kool-Aid, my heart pump beer",i got dat work,Breakin News ,,alcoholic beverage,,
211 steel reserve,"Malt liquor, 211 Steel Reserve",i got dat work,Breakin News ,,alcoholic beverage,,
comet (cleaning),"Seen fiends vomit, green stuff I had to clean it up wit' Comet",quarterbackin,Breakin News ,,,,
jalapeno,"This is a heater man, hot, like jalepeno",one night stand,Breakin News ,,produce,,
mayonnaise and tuna,Tuna mayonnaise oysters needles and crackers (and crackers),i hope u get this kite,Breakin News ,,condiment,,
oysters,Tuna mayonnaise oysters needles and crackers (and crackers),i hope u get this kite,Breakin News ,,,,
crackers,Tuna mayonnaise oysters needles and crackers (and crackers),i hope u get this kite,Breakin News ,,,,
beef,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,,,
pork,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,,,
chicken,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,,,
turkey,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,,,
fish,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,,,
lettuce,"No more beef and pork, just chicken turkey fish and lettuce",i hope u get this kite,Breakin News ,,produce,,
cook's champagne,"I ain't Cristal'd out, I still be drinkin Cook's",i hope u get this kite,Breakin News ,,alcoholic beverage,,
cristal,"I ain't Cristal'd out, I still be drinkin Cook's",i hope u get this kite,Breakin News ,,alcoholic beverage,,
bufferin (aspirin tablets),"We off of them pills, and we ain't talking bout Bufferin",act a ass,Breakin News ,,,,
hypnotiq,"Had to cop a bottle of the blue Hpnotiq, Incredible Hulks, you know what I mean, Mix it with some dark and watch that shit turn green",act a ass,Breakin News ,,alcoholic beverage,,
incredible hulk (mixed drink w hypnotiq and brown liquor like hennessy),"Had to cop a bottle of the blue Hpnotiq, Incredible Hulks, you know what I mean, Mix it with some dark and watch that shit turn green",act a ass,Breakin News ,,alcoholic beverage,,
wingstop,I need to stop pushin hop so I can buy a WingStop,anybody can get it,Breakin News ,,,,
grits,A shoebox full of herb and some grits and turkey sausage for my liver,anybody can get it,Breakin News ,,,,
turkey sausage,A shoebox full of herb and some grits and turkey sausage for my liver,anybody can get it,Breakin News ,,,,
lysol,Sharp - cleaner than a can of Lysol,show and prove,Breakin News ,,,,
salad without dressing,"Cause see me without you, is like salad without dressing",show and prove,Breakin News ,,produce,,
wheaties,"Fillin my wheaties in the trenches, lookin out for em Po-Po-Heezies",this goes out,Breakin News ,,,,
211 steel reserve,My favorite beer right now is 211 Steel Reserve,if if was a 5th,Breakin News ,,alcoholic beverage,,
bananas,"Instead of sellin' bananas, I'd sell coconuts (Sell coconuts)",if if was a 5th,Breakin News ,,produce,,
coconuts,"Instead of sellin' bananas, I'd sell coconuts (Sell coconuts)",if if was a 5th,Breakin News ,,produce,,
hotcakes,"They'll be goin' like hotcakes, man like IHOP (IHOP)",if if was a 5th,Breakin News ,,,,
ihop,"They'll be goin' like hotcakes, man like IHOP (IHOP)",if if was a 5th,Breakin News ,,,,
green eggs & ham,"Digital scale, green eggs & hams, Yams, candy yams, spam, DAMN!",the slap,Grit & Grind,,,,
"yams, candied yams","Digital scale, green eggs & hams, Yams, candy yams, spam, DAMN!",the slap,Grit & Grind,,,,
spam,"Digital scale, green eggs & hams, Yams, candy yams, spam, DAMN!",the slap,Grit & Grind,,,,
peanut butter,"Loaded, my cheese, peanut butter & jam",the slap,Grit & Grind,,condiment,,
jam,"Loaded, my cheese, peanut butter & jam",the slap,Grit & Grind,,condiment,,
starbucks,Around the corner from Starbucks coffee talkin to my {?},the slap,Grit & Grind,,beverage,,
e & j brandy,"Caitlin Candy's drinkin and gurpin, E&J brand burpin, {?}",the slap,Grit & Grind,,alcoholic beverage,,
mayonnaise,"All of my fellas and all of my dogs, Ridin' on mustard and mayonnaise on Vogues",automatic,Grit & Grind,mustard and mayo refers to the white and yellow lines on the tires,condiment,,
mustard,"All of my fellas and all of my dogs, Ridin' on mustard and mayonnaise on Vogues",automatic,Grit & Grind,mustard and mayo refers to the white and yellow lines on the tires,condiment,,
chunky soup,"Fully recouped, money chunky like the soup",it's all gravity,Grit & Grind,,,,
carlos rossi,"Rossi wine, Carlos Rossi wine is what I drink / Not all the time but most of the time it helps a playa think",it's all gravity,Grit & Grind,,alcoholic beverage,,
goldschlager,"Look at my guys, look at my guys, they off that Goldschläger",it's all gravity,Grit & Grind,,alcoholic beverage,,
7-up,"Get everybody up in the club up in here off the numb-numb juice / Vodka, 7-Up, and cran-apple juice (eww)",7 much,Grit & Grind,,beverage,,
cranapple juice,"Get everybody up in the club up in here off the numb-numb juice / Vodka, 7-Up, and cran-apple juice (eww)",7 much,Grit & Grind,,beverage,,
christmas turkey,Most of these hoes be mo' full of shit than a Christmas turkey,7 much,Grit & Grind,i think kokane says this but its so good,,,
wonder bread,Get you're wonder bread pepperoni watch it increase,mustard & mayonnaise,Grit & Grind,,,,
pepperoni,Get you're wonder bread pepperoni watch it increase,mustard & mayonnaise,Grit & Grind,,,,
mustard,the song mustard and mayonnaise,mustard & mayonnaise,Grit & Grind,,condiment,,
mayonnaise,the song mustard and mayonnaise,mustard & mayonnaise,Grit & Grind,,condiment,,
carlos rossi,Gatorade bottle full of Burgundy Carlos Rossi,mustard & mayonnaise,Grit & Grind,,alcoholic beverage,,
ms butterworth's syrup (cough syrup but like),"I'm leaning, I got that purple colors brightness / Ms. Buttersworth up in my white cup, white cup",my cup,Grit & Grind,,condiment,,
ice cream and cakes,"Everyday is my birthday, I'm about that ice cream and cake",my cup,Grit & Grind,,,,
apple jacks,I'm just as square as a box of apple jacks,lifestyles,Grit & Grind,,,,
dom perignon,If you wanna drink c'mon we popping Dom Pérignon,til the dawn,Grit & Grind,,alcoholic beverage,,
brusslesprout,This fine ass little brusslesprout and I have to apprehend her,til the dawn,Grit & Grind,,produce,,
lactose,"Black folks, lactose and talerance",til the dawn,Grit & Grind,,,,
motrin,I think I drunk too much wine (too much wine) / Anybody got a Motrin? I feel like my head's explodin,end of the world,Grit & Grind,,,,
tic tacs,"Motorola, A1 yola, glad bag fulla Tic Tacs",fallin rain,Grit & Grind,,,,
glad bag,"Motorola, A1 yola, glad bag fulla Tic Tacs",fallin rain,Grit & Grind,,,,
loaf of bread,"A loaf of bread, a stick of butter and some milk / Around the corner from the spot where all the dealers dealt",fallin rain,Grit & Grind,,,,
stick of butter,"A loaf of bread, a stick of butter and some milk / Around the corner from the spot where all the dealers dealt",fallin rain,Grit & Grind,,dairy,,
milk,"A loaf of bread, a stick of butter and some milk / Around the corner from the spot where all the dealers dealt",fallin rain,Grit & Grind,,beverage,,
chunky soup,"I'm doing it chubby like the checker, chunky like the soup / A de- a decade and a half and still in the loop",fallin rain,Grit & Grind,,,,
arm & hammer baking soda,Arm & Hammer baking soda in gumbo pots why not give'em to wifey,loyalty and betrayal,Loyalty and Betrayal,,,,
listerine,"Cleanin and clurvin, Listerine and chlorine",lace me up,Loyalty and Betrayal,,,,
bacardi,Puffin on chronic and drinkin on Bacardi,nigga shit,Loyalty and Betrayal,,alcoholic beverage,,
barbecue,"Uh-huh; barbecue or mildew, hhhoe?",pop ya collar,Loyalty and Betrayal,,,,
mustard,If I ain't ridin' mustard or mayonnaise Zeniths and Vogues toes,behind gates,Loyalty and Betrayal,again its the rims,condiment,,
mayonnaise,If I ain't ridin' mustard or mayonnaise Zeniths and Vogues toes,behind gates,Loyalty and Betrayal,again its the rims,condiment,,
courvosier,"We bought a - Remi, Hennesey, Courvosier (yay) / Belvedere Vodka, and Gran Marnier (yay)",flamboastin,Loyalty and Betrayal,,alcoholic beverage,,
belvedere vodka,"We bought a - Remi, Hennesey, Courvosier (yay) / Belvedere Vodka, and Gran Marnier (yay)",flamboastin,Loyalty and Betrayal,,alcoholic beverage,,
grand marnier,"We bought a - Remi, Hennesey, Courvosier (yay) / Belvedere Vodka, and Gran Marnier (yay)",flamboastin,Loyalty and Betrayal,,alcoholic beverage,,
carlos rossi,Lower development housin - Carlos Rossi by the gallon,flamboastin,Loyalty and Betrayal,,alcoholic beverage,,
211 steel reserve,Sharin my forty s of malt liquor drinkin / 211 after any old nigga thinking&,clown wit it,Loyalty and Betrayal,,alcoholic beverage,,
sunflower seeds,"""Hello my friend!"" Whassuper dude? / Give me a pack of sunflower seeds",l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,produce,,
lemon,A generic lemon squeeze lime juice / And a bottle of Goldschlager,l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,produce,,
lime,A generic lemon squeeze lime juice / And a bottle of Goldschlager,l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,produce,,
goldschlager,A generic lemon squeeze lime juice / And a bottle of Goldschlager,l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,alcoholic beverage,,
licorice,"A pack of licorice, lick-em-and-lock-em Zig-Zags",l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
hard boiled egg,A hard boiled egg and them pickled pig feet (pickled pigs feet),l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,dairy,,
pickled pigs feet,A hard boiled egg and them pickled pig feet (pickled pigs feet),l.i.q.,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
nuts and fruits,"Po'-po', that's for weighin nuts and fruits",ballaholic,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,produce,,
sushi,"On my way back from the sushi bar, drinkin saki",get breaded,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
sake,"On my way back from the sushi bar, drinkin saki",get breaded,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,alcoholic beverage,,
lobster,"Lobster, shrimpin, never simpin, gangsta limpin",get breaded,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
shrimp,"Lobster, shrimpin, never simpin, gangsta limpin",get breaded,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
twinkies,Freezer burn platinum on my pinkie (LOOK AT ME) / Squattin twenty inch Twinkies (LOOK AT ME),look at me,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
costco,Y'know like CostCo? We fuck with Bosco,fuckin they nose,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
apricot butter,Custom painted candy apricot butter,seasoned,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,condiment,,
onions,"If y'all smell onions - that's my arms potent / The reason I'm musty is cause, we ain't got no mo' deordorant",seasoned,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,produce,,
birthday cake,"But that's ah cha-ah-chance, that I'mma have to-ah-take / Today my son birthday and I can't even buy a cake",seasoned,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
carlos rossi,Where the party at? Who got that +Carlos Rossi+? / Who in my +Drinkin' Club+? Fire up some broccoli,earl that's yo life,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,alcoholic beverage,,
sardines,From sardines and spam to teriyaki steak,earl that's yo life,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
spam,From sardines and spam to teriyaki steak,earl that's yo life,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
teriyaki steak,From sardines and spam to teriyaki steak,earl that's yo life,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
applebee's,"Well where did they find you? Around the corner from Applebee / Over there by Costco, right there off the freeway",rules and regulations,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
costco,"Well where did they find you? Around the corner from Applebee / Over there by Costco, right there off the freeway",rules and regulations,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
safeway,"Over there by Costco, right there off the freeway / Admiral Callaghan Lane, yeah! Right next door to Safeway",rules and regulations,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
cane sugar (C&H),Bitch it's about CB&H and I ain't talkin about pure cane sugar / I'm talkin about cock a butt and HEAD,borrow yo broad,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,spices,,
hotdogs,On the East they got hot dogs and pretzel stands,do what you know good,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
pretzel,On the East they got hot dogs and pretzel stands,do what you know good,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
tacos,On the West they got tacos and burrito vans,do what you know good,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
burrito stands,On the West they got tacos and burrito vans,do what you know good,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
? and brisket,"In the South, it's (??) and briscuit",do what you know good,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
soul food restaurant,Put a soul food restaurant in yo' mama's name and own your own clothing line,mouthpiece,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
cereal,In the morning eatin' cereal / Strapped with the .223 infrared material,mouthpiece,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
macaroni,"Money don't make me, I make money / What I look like fuckin' over a broad, playboy I'm a macaroni",mouthpiece,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
popeye's chicken,Ballers you know how we livin' / You know how we meet 'em in the parking lot at Popeye's chicken,mouthpiece,Charlie Hustle: The Blueprint of a Self-Made Millionaire,,,,
mustard,"Mustard and mayonnaise, zeniths and vouges",ghetto celebrity,Charlie Hustle: The Blueprint of a Self-Made Millionaire,the rims,condiment,,
mayonnaise,"Mustard and mayonnaise, zeniths and vouges",ghetto celebrity,Charlie Hustle: The Blueprint of a Self-Made Millionaire,the rims,condiment,,
macademia nut,"Buying yellow clusters instead of counterfiet dope / Alexander the Great, macadamia nut, chief rockin' soap",the element of surprise,The Element of Surprise,,produce,,
jalapeno,"We hot like jalapenos / Man, how come niggas can't put their money together like Philipinos?",dump bust blast,The Element of Surprise,,produce,,
swiss cheese,He was one of them enemies that tried to participate / In Swiss Cheezin' my clean ass Cadillac,dump bust blast,The Element of Surprise,,dairy,,
ben and jerry's,"Posted up like a thumbtack on the boulevard serving dead / Yola, ice cream, Ben and Jerry (Jer)",dump bust blast,The Element of Surprise,,,,
arm & hammer baking soda,Fuck the stress / I let that orange box of baking soda do the rest,"$999,999 + $1 = A Mealticket",The Element of Surprise,,,,
7-11,Went to the Seven Eleven picked up a traders book and bought a bucket,"$999,999 + $1 = A Mealticket",The Element of Surprise,,,,
betty crocker cake,"I been havin more candy than a pinata, more cake than Betty Crocker",money scheme,The Element of Surprise,,,,
gordon's gin,Take her home and get rug burns on my nuts! / Stuck! Gordon's Gin and Donald Duck,money scheme,The Element of Surprise,,alcoholic beverage,,
donald duck grapefruit juice,Take her home and get rug burns on my nuts! / Stuck! Gordon's Gin and Donald Duck,money scheme,The Element of Surprise,,beverage,,
mcdonald's,"Smokin on a roach, loitering in a McDonald's parkin lot",money scheme,The Element of Surprise,,,,
poached egg,"I luh I like my egg poached, hard over easy!!! / In the drive through, hollerin at her breezy!!!",money scheme,The Element of Surprise,,dairy,,
lobster,"I never had, lobster in my life (or what?) / Or teriyaki steaks, just sardines and spam and cornflakes",zoom,The Element of Surprise,,,,
teriyaki steak,"I never had, lobster in my life (or what?) / Or teriyaki steaks, just sardines and spam and cornflakes",zoom,The Element of Surprise,,,,
sardines,"I never had, lobster in my life (or what?) / Or teriyaki steaks, just sardines and spam and cornflakes",zoom,The Element of Surprise,,,,
spam,"I never had, lobster in my life (or what?) / Or teriyaki steaks, just sardines and spam and cornflakes",zoom,The Element of Surprise,,,,
cornflakes,"I never had, lobster in my life (or what?) / Or teriyaki steaks, just sardines and spam and cornflakes",zoom,The Element of Surprise,,,,
taco bell,"Back then I was blind, penetentiary chance at jail / Livin off my gahl for hella long she worked at Taco Bell",zoom,The Element of Surprise,,,,
glad bags,"Then they pullin up out the Glad Bags, the hefty type / (But you niggas ain't got no kind of idea what a chopped up body looks like)",mayhem,The Element of Surprise,,,,
garlic,We chief the heat / The garlic hollow tips with the vest,personal,The Element of Surprise,,produce,,
kentucky fried chicken,"All I know is pussy, money and color bandannas / And tryin' to get my kids some more chickens than Colonel Sanders",my hoodlums & my thugz,The Element of Surprise,,,,
lemon snapple,"""What kind of cologne you got on?"" I tell 'em ""Heckler and Koch"" / Johnnie Walker, Snapple lemon-squeezed and scotch",my hoodlums & my thugz,The Element of Surprise,,beverage,,
carlos rossi,When I came up with this line: I was perkin / Off of some of that Carlos Rossi wine -- whatcha playa patnah got,do it to me,The Element of Surprise,,alcoholic beverage,,
popsicle,"My reals be pokin and stickin out like nipples / The felines, be lookin at us like we some popsicles",do it to me,The Element of Surprise,,,,
marshmallow,Cause he's one of them modest fellows / And I'm Lieutenant Roast a Botch known for roastin hoes like marshmellows,Lieutenant Roast a Botch,The Element of Surprise,,,,
altoid,Ignorin do-do breath you can't avoid / Somebody give this ho a Altoid,Lieutenant Roast a Botch,The Element of Surprise,,,,
thunderbird wine,Thunderbird and grape Kool-Aid / You remember suckin dicks in the seventh grade,Lieutenant Roast a Botch,The Element of Surprise,,alcoholic beverage,,
grape kool-aid,Thunderbird and grape Kool-Aid / You remember suckin dicks in the seventh grade,lieutenant Roast a Botch,The Element of Surprise,,beverage,,
wheaties,"Full of my Wheaties, yes indeedy, M-16's don't shoot no beebees","it's on, on sight",The Element of Surprise,,,,
olive garden,I've got a hunch; meet me at the Olive Garden spot let's do lunch / Fool and dem tried to pass the buck and set us up for lumps,"it's on, on sight",The Element of Surprise,,,,
tupperware,"Don't y'all know it's time for y'all to blow up, like Napalm / Instead of sellin Tupperware, and Avon",from the ground up,The Element of Surprise,,,,
denny's,"Smokin more bomb than Cheech and Chong, I'm SAYIN / Hit up Denny's restaurant and order a gang of food",flashin,The Element of Surprise,,,,
ice cream,"I took a, I took a, whole thang of ice cream / A kilogram of birdie a unit",doin dirt bad,The Element of Surprise,still probably cocaine,,,
hotcakes,"When there's a shortage on sumpthin, (on sumpthin) / That way I could get em off like hot cakes",doin dirt bad,The Element of Surprise,,,,
broccoli,"All I need is broccoli and a 40-oh to drink / Smokin that broccoli now, takes me out",broccoli,The Element of Surprise,,produce,,
tuna,"Talin bout, ""Who the fuck you been doin it to? / Comin home always smellin like tuna fish and brew""",broccoli,The Element of Surprise,,,,
seagram's gin,"From juice and Seagram's Gin / Fuck all of that Cristal-poppin, drinkin Moet shit",broccoli,The Element of Surprise,,alcoholic beverage,,
cristal,"From juice and Seagram's Gin / Fuck all of that Cristal-poppin, drinkin Moet shit",broccoli,The Element of Surprise,,alcoholic beverage,,
moet,"From juice and Seagram's Gin / Fuck all of that Cristal-poppin, drinkin Moet shit",broccoli,The Element of Surprise,,alcoholic beverage,,
wheaties,"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,,,
thunderbird wine,"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
gorilla milk (https://mrbostondrinks.com/recipes/gorilla-milk),"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
aftershock (cinnamon alcohol),"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
wild irish rose wine,"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
hennessy,"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
jagermeister,"I'm from the block / Wheaties, Thunderbird, gorilla milk and Aftershock / ?Boom square wide country?, Wild Irish Rose / Smugglin Hennessey and scotch, Jagermeister and Tequila shots",broccoli,The Element of Surprise,,alcoholic beverage,,
crown royal whiskey,"So hah, let me take a swig of that Crown Royal / What you puttin on that blunt huh? Hash oil",broccoli,The Element of Surprise,,alcoholic beverage,,
burrito truck,"Now, there was a cool little old fuck / Smoked a little broccelius then we stopped by the burrito truck",jump my bone,The Element of Surprise,,,,
candy cane,"Like, choppin up candy cane",back against the wall,The Element of Surprise,,,,
orange juice,"She hit me on my locker, I was off that truck / Mechanic orange juice and Absolut vodka",to da beat,The Element of Surprise,,beverage,,
absolut vodka,"She hit me on my locker, I was off that truck / Mechanic orange juice and Absolut vodka",to da beat,The Element of Surprise,,alcoholic beverage,,
cotton candy yams,"Peruvian flake, cotton candy yams and Highway 5 / About an estimated four-and-a-half hour drive, LET ME GO",dirty deeds,The Element of Surprise,again cocaine. in fact the candied yams probably also cocaine,,,
buffalo wings,"Buffalo wings and Bleu cheese dressing, Caesar salad / A glass of wine and lots of sexin, don't you doubt it",dirty deeds,The Element of Surprise,,,,
bleu cheese dressing,"Buffalo wings and Bleu cheese dressing, Caesar salad / A glass of wine and lots of sexin, don't you doubt it",dirty deeds,The Element of Surprise,,condiment,,
caesar salad,"Buffalo wings and Bleu cheese dressing, Caesar salad / A glass of wine and lots of sexin, don't you doubt it",dirty deeds,The Element of Surprise,,,,
coca-cola,"I'd rather fuck around with Coca-Cola, yola / Ice cream, candy, granola, huh",ballin outta control,The Element of Surprise,so many cocaine references,beverage,,
ice cream,"I'd rather fuck around with Coca-Cola, yola / Ice cream, candy, granola, huh",ballin outta control,The Element of Surprise,so many cocaine references,,,
candy,"I'd rather fuck around with Coca-Cola, yola / Ice cream, candy, granola, huh",ballin outta control,The Element of Surprise,so many cocaine references,,,
granola,"I'd rather fuck around with Coca-Cola, yola / Ice cream, candy, granola, huh",ballin outta control,The Element of Surprise,so many cocaine references,,,
cabbage,"With big time folks makin big time cabbage / Become a savage, get swoll by ones",ballin outta control,The Element of Surprise,,produce,,
gordon's gin,"I stay on stuff, fuck a cup, I likes to drink out the bottle / Mix Gordon's Gin with Donald Duck ? secure my novel",one more gen,The Element of Surprise,,alcoholic beverage,,
donald duck grapefruit juice,"I stay on stuff, fuck a cup, I likes to drink out the bottle / Mix Gordon's Gin with Donald Duck ? secure my novel",one more gen,The Element of Surprise,,beverage,,
mcdonald's,I used to sell Kirby vacumn cleaners but I wasn't a punk / I worked at Mickey D's (what did you make) Employee of the Month,one more gen,The Element of Surprise,,,,
bread,"Nigga what the fuck they hit for? Nigga let's shoot fins / You got all the bread nigga, put up yo' Benz",record haters,Tha Hall of Game,,,,
carlos rossi,Had everyone an they great grandmas off that Carlos Rossi wine / Was in a major label an business that uh didn't want us to shine,record haters,Tha Hall of Game,,alcoholic beverage,,
ribs,"Smokin' blunts and drinkin' brew on the balcony, barbecuin' ribs",rapper's ball,Tha Hall of Game,,,,
church's chicken,"My million dollar spot, not to mention / Drive through service, Church's chicken",million dollar spot,Tha Hall of Game,,,,
glad sandwich bag,"He came in the middle of the Atlantic ocean, on the glad sandwich bag",mack minister,Tha Hall of Game,,,,
wheaties,The mack god said that just because you meet a hoe / And she wears a jersey that say champion and eat a bowl of wheaties / Don't make her a winner,mack minister,Tha Hall of Game,,,,
bean pie,"Man, fools be droppin' like flies / Maybe we need more brothers selling bean pies",the story,Tha Hall of Game,,,,
orange juice,"Sharp pain and orange juice got my moose up / Stainless artichokes, tequila poppes, Medusas",my drinking club,Tha Hall of Game,,beverage,,
artichokes,"Sharp pain and orange juice got my moose up / Stainless artichokes, tequila poppes, Medusas",my drinking club,Tha Hall of Game,,produce,,
pepto-bismol,"Better prepare myself for the upset stomach, ohhh / Stop by the M.P. on the way home and pick up a bottle of Pepto-Bismol",my drinking club,Tha Hall of Game,,,,
christian brothers brandy,Okay.. see I be krunkin(?) to profession in American-o(?) / Cristal Brothers Brandy all down the throat,i like what you do to me,Tha Hall of Game,,alcoholic beverage,,
skittles,Strippin the fuck up out of some willow / Poppin ecstasy like Skittles,circumstances,Tha Hall of Game,t pup says this not e 40,,,
